ID,LABEL,CL_1,CL_2,CL_3,CL_4,CL_5,CL_6,CL_7,CL_8,CL_9,CL_10,CL_11,CL_12,CL_13,CL_14,semantic_result_1,semantic_result_2,semantic_result_3,semantic_result_4,semantic_result_5,semantic_result_6,semantic_result_7,semantic_result_8,semantic_result_9,semantic_result_10,semantic_result_11,semantic_result_12,semantic_result_13,semantic_result_14,semantic_result_15,semantic_result_16
81,False,False,True,True,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
82,False,False,True,True,True,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
83,False,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True
84,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
85,False,False,True,True,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
86,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
87,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
88,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
89,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
90,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True
91,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
92,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
93,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
94,False,False,True,True,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
95,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
96,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
97,False,False,True,True,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
98,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
99,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100,False,False,True,True,True,False,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
101,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
102,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
103,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True
104,False,False,True,True,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
105,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
106,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
107,True,False,True,True,True,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
108,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
109,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
110,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True
111,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True
112,False,False,True,True,True,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
113,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
114,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
115,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
116,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
117,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True
118,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
119,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
120,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
121,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
122,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
123,False,False,True,True,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
124,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
125,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
126,False,False,True,True,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
127,True,False,True,True,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
128,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
129,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
130,False,False,True,True,True,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
131,False,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True
132,False,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True
133,False,False,True,True,True,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
134,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
135,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
136,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
137,False,False,True,True,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
138,False,False,True,True,True,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
139,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
140,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True
141,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
142,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
143,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
144,False,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True
145,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
146,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
147,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
148,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
149,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True
150,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
151,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
152,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
153,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
154,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
155,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
156,False,False,True,True,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
157,True,False,True,True,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
158,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
159,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
160,True,False,True,True,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
161,False,False,True,True,True,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
162,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
163,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
164,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
165,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True
166,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
167,False,False,True,True,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
168,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
169,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
170,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
171,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
172,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
173,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True
174,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
175,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
176,True,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,True,False,False,True,True,False,True,True,True,True,True,True,True
177,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
178,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
179,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
180,False,False,True,True,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
181,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
182,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
183,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
184,False,False,True,True,True,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
185,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
186,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
187,False,False,True,True,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
188,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
189,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
190,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
191,False,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True
192,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
193,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True
194,False,False,True,True,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
195,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
196,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True
197,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
198,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
199,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
